id,Organisation,Department
57,Archaeological Survey of India,O/o SA-ASI-Raipur Circle-Raipur
57,Archaeological Survey of India,O/o SA-ASI-Kolkata Circle-Kolkata
57,Archaeological Survey of India,O/o SA-ASI-Patna Circle-Patna
57,Archaeological Survey of India,O/o SA-ASI-Vadodara Circle-Vadodara
57,Archaeological Survey of India,O/o Dy. SA-ASI-Aizwal
57,Archaeological Survey of India,O/o SA-ASI-Agra Circle-Agra
57,Archaeological Survey of India,O/o SA - ASI - Merrut circle
57,Archaeological Survey of India,O/o SA-ASI-Guwahati Circle-Guwahati
57,Archaeological Survey of India,O/o SA-ASI-Hyderabad Circle-Hyderabad
57,Archaeological Survey of India,O/o SA-ASI-Ranchi Circle-Ranchi
57,Archaeological Survey of India,O/o SA - ASI - Thiruchirrpalli circle
57,Archaeological Survey of India,O/o SA-ASI-Aurangabad Circle-Aurangabad
57,Archaeological Survey of India,O/o SA - ASI - Raiganj circle
57,Archaeological Survey of India,O/o SA-ASI-Srinagar Circle-Srinagar
57,Archaeological Survey of India,O/o SA-ASI-Sarnath Circle-Sarnath
57,Archaeological Survey of India,O/o SA-ASI-Chandigarh Circle-Chandigarh
57,Archaeological Survey of India,O/o SA-ASI-Goa Circle-Goa
57,Archaeological Survey of India,O/o Dy. SAC-ASI-Sarnath
57,Archaeological Survey of India,O/o SA-ASI-Dehradun Circle-Dehradun
57,Archaeological Survey of India,O/o Dy. SA-ASI-Mini Circle Hampi-Hampi
57,Archaeological Survey of India,O/o SA - ASI - Rajkot circle
57,Archaeological Survey of India,O/o Dy. SA-ASI-Mini Circle Leh-Leh
57,Archaeological Survey of India,O/o Dy. SAC-ASI- Kolkata
57,Archaeological Survey of India,O/o Dy. SAC-ASI- Guwahati
57,Archaeological Survey of India,O/o SA - ASI - Thiruchirrpalli  circle
58,Industries and Commerce Department,Commissioner Industries and Commerce Assam
58,Industries and Commerce Department,North East Gas Distribution Company Limited
58,Industries and Commerce Department,Assam Gas Company Ltd - ICD
58,Industries and Commerce Department,Assam Industrial Development Corporation Ltd - ICD
58,Industries and Commerce Department,Assam Industrial Infrastructure Development Corporation
58,Industries and Commerce Department,DNP Limited
58,Industries and Commerce Department,Assam Small Industries Development Corpn. Ltd.
58,Industries and Commerce Department,Assam Petro-Chemicals Ltd.
59,Aravali Power Company Pvt. Ltd - IGSTPP,Contract and Materials - APCPL
60,Department of Food Civil Supplies and Consumer Affairs,PUNSUP
60,Department of Food Civil Supplies and Consumer Affairs,PUNGRAIN
60,Department of Food Civil Supplies and Consumer Affairs,State Food Commission Punjab
61,Irrigation Department,Chief Engineer(Major)-Irrigation Dept
61,Irrigation Department,Chief Engineer(Minor Irrigation)-Irrigation Dept
61,Irrigation Department,Additional Chief Engineer cum CHD-Irrigation-BTC
62,Department of Forests and Wildlife Preservation,Punjab State Forest Development Corporation Limited
62,Department of Forests and Wildlife Preservation,Wildlife Wing
62,Department of Forests and Wildlife Preservation,Forests and Wildlife Preservation
63,DC-PDD,CE-M and RE Wing Kashmir
63,DC-PDD,CE-M and RE Wing Jammu
63,DC-PDD,CE-S and O Wing Kashmir
63,DC-PDD,CE-S and O Wing Jammu
63,DC-PDD,CE-Project Wing JAMMU
63,DC-PDD,CE-C and S Wing (Moving)
64,Department of Health and Family Welfare,Punjab Health System Corporation
64,Department of Health and Family Welfare,Homoeopathy Punjab
64,Department of Health and Family Welfare,National Health Mission
64,Department of Health and Family Welfare,Civil Hospital - Mansa
64,Department of Health and Family Welfare,District Hospital - Rupnagar
64,Department of Health and Family Welfare,Deputy Medical Commissioner - Bathinda
64,Department of Health and Family Welfare,Punjab State AIDS Control Society
64,Department of Health and Family Welfare,Food and Drugs Administration
64,Department of Health and Family Welfare,Civil Surgeon Office - Sri Muktsar Sahib
64,Department of Health and Family Welfare,Civil Surgeon Office - Faridkot
64,Department of Health and Family Welfare,Directorate of Ayurveda Punjab
64,Department of Health and Family Welfare,State Health Agency
64,Department of Health and Family Welfare,Director Health Services (ESI)
65,National Health Mission,State Programme Management Unit - NHM
65,National Health Mission,District Programme Management Unit - NHM
66,Armoured Vehicles Nigam Limited,Ordnance Factory Medak-Yeddumailaram
66,Armoured Vehicles Nigam Limited,Heavy Vehicles Factory - Avadi
66,Armoured Vehicles Nigam Limited,Vehicle Factory - Jabalpur
66,Armoured Vehicles Nigam Limited,Engine Factory Avadi - Avadi
66,Armoured Vehicles Nigam Limited,Machine Tool Prototype Factory - Ambernath
67,Bharat Sanchar Nigam Limited,Himachal Pradesh Circle-MM
67,Bharat Sanchar Nigam Limited,Rajasthan Circle-MM
67,Bharat Sanchar Nigam Limited,Orissa Circle-MM
67,Bharat Sanchar Nigam Limited,Tamilnadu Circle-MM
67,Bharat Sanchar Nigam Limited,Gujrat Circle-MM
67,Bharat Sanchar Nigam Limited,Andaman and Nicobar Circle-MM
67,Bharat Sanchar Nigam Limited,Chennai Telecom District - MM
67,Bharat Sanchar Nigam Limited,AP Circle-MM
67,Bharat Sanchar Nigam Limited,Haryana Circle-MM
67,Bharat Sanchar Nigam Limited,Uttaranchal Circle-MM
67,Bharat Sanchar Nigam Limited,West Bengal Circle-MM
67,Bharat Sanchar Nigam Limited,Punjab Circle-MM
67,Bharat Sanchar Nigam Limited,Jharkhand Circle-MM
67,Bharat Sanchar Nigam Limited,Kerala Circle-MM
68,Pr. Chief Conservator of Forest and Head of Forest Force,Research Education and Working Plans
68,Pr. Chief Conservator of Forest and Head of Forest Force,Principal Chief Conservator of Forests(Wildlife and Ch. Wildlife Warden)
68,Pr. Chief Conservator of Forest and Head of Forest Force,Chief Conservator of Forests (Upper Assam Zone)
68,Pr. Chief Conservator of Forest and Head of Forest Force,Chief Conservator of Forestes (T) (Lower Assam Zone)
68,Pr. Chief Conservator of Forest and Head of Forest Force,Chief Conservator of Forests Social Forestry
68,Pr. Chief Conservator of Forest and Head of Forest Force,3rd Assam Forest Protection Force
68,Pr. Chief Conservator of Forest and Head of Forest Force,1st Assam Forest Protection Force
68,Pr. Chief Conservator of Forest and Head of Forest Force,2nd Assam Forest Protection Force
68,Pr. Chief Conservator of Forest and Head of Forest Force,Assam Project on Forest and Biodiversity Conservation Society (APFBC)
68,Pr. Chief Conservator of Forest and Head of Forest Force,Research and Education Circle Basistha Guwahati
69,Department of Local Government,Director - Local Government
69,Department of Local Government,Punjab Water Supply and Sewerage Board
69,Department of Local Government,Cantonment Board Ferozepur
69,Department of Local Government,Punjab State Urban Livelihood Mission
69,Department of Local Government,PMIDC
69,Department of Local Government,Cantonment Board Jalandhar
70,Public Works Building and NH Department,Chief Engineer-Building - PWBNH
